ICAO Code,IATA Code,Airport Name,City/Town,Country
DNJO,JOS,Jos,Jos,Nigeria
DNKA,KAD,Kaduna,Kaduna,Nigeria
DNKN,KAN,Kano Mallam Aminu International,Kano,Nigeria
DNMA,MIU,Maiduguri,Maiduguri,Nigeria
DNMK,MDI,Makurdi,Makurdi,Nigeria
DNMM,LOS,Lagos Murtala Muhammed,Lagos,Nigeria
DNMN,MXJ,Minna New,Minna,Nigeria
DNPO,PHC,Port Harcourt International,Port Hartcourt,Nigeria
DNSO,SKO,Sadiq Abubakar Iii International,Sokoto,Nigeria
DNYO,YOL,Yola,Yola,Nigeria
DNZA,ZAR,Zaria,Zaria,Nigeria
DRRM,MFG,Maradi,Maradi,Niger
DRRN,NIM,Diori Hamani,Niamey,Niger
DRRT,THZ,Tahoua,Tahoua,Niger
DRZA,AJY,Manu Dayak,Agadez,Niger
DRZR,ZND,Zinder,Zinder,Niger
DTMB,MIR,Habib Bourguiba International,Monastir,Tunisia
DTTA,TUN,Carthage,Tunis,Tunisia
DTTF,GAF,Gafsa,Gafsa,Tunisia
DTTG,GAE,Gabes,Gabes,Tunisia
DTTJ,DJE,Zarzis,Djerba,Tunisia
DTTR,EBM,El Borma,El Borma,Tunisia
DTTX,SFA,Thyna,Sfax,Tunisia
DTTZ,TOE,Nefta,Tozeur,Tunisia
DXNG,LRL,Niamtougou,Niatougou,Togo
DXXX,LFW,Lome Tokoin,Lome,Togo
EBAW,ANR,Deurne,Antwerp,Belgium
EBBR,BRU,Brussels Natl,Brussels,Belgium
EBCI,CRL,Brussels South,Charleroi,Belgium
EBKT,QKT,Wevelgem,Kortrijk-Vevelgem,Belgium
EBLG,LGG,Liege,Liege,Belgium
EBOS,OST,Oostende,Ostend,Belgium
EDAB,BBJ,Bautzen,Bautzen,Germany
EDAC,AOC,Altenburg Nobitz,Altenburg,Germany
EDBG,GWW,Goldsboro Wayne Muni,Gotha Ost,Germany
EDDB,SXF,Schonefeld,Berlin,Germany
EDDC,DRS,Dresden,Dresden,Germany
EDDE,ERF,Erfurt,Erfurt,Germany
EDDF,FRA,Frankfurt Main,Frankfurt,Germany
EDDG,FMO,Munster Osnabruck,Muenster/Osnabrueck,Germany
EDDH,HAM,Hamburg,Hamburg,Germany
EDDI,THF,Tempelhof,Berlin,Germany
EDDK,CGN,Koln Bonn,Cologne,Germany
EDDL,DUS,Dusseldorf,Duesseldorf,Germany
EDDM,MUC,Munich,Munich,Germany
EDDN,NUE,Nurnberg,Nuernberg,Germany
EDDP,LEJ,Leipzig Halle,Leipzig,Germany
EDDR,SCN,Saarbrucken,Saarbruecken,Germany
EDDS,STR,Stuttgart,Stuttgart,Germany
EDDT,TXL,Tegel,Berlin,Germany
EDDV,HAJ,Hannover,Hannover,Germany
EDDW,BRE,Bremen,Bremen,Germany
EDFH,HHN,Frankfurt Hahn,Hahn,Germany
EDFM,MHG,Mannheim City,Mannheim,Germany
EDHI,XFW,Hamburg Finkenwerder,Hamburg,Germany
EDHK,KEL,Kiel Holtenau,Kiel,Germany
EDHL,LBC,Lubeck Blankensee,Luebeck,Germany
EDKA,AAH,Aachen Merzbruck,Aachen,Germany
EDLA,ZCA,Arnsberg Menden,Arnsberg,Germany
EDLE,ESS,Essen Mulheim,Essen,Germany
EDLN,MGL,Monchengladbach,Moenchengladbach,Germany
EDLP,PAD,Paderborn Lippstadt,Paderborn,Germany
EDLW,DTM,Dortmund,Dortmund,Germany
EDMA,AGB,Augsburg,Augsburg,Germany
EDMO,OBF,Oberpfaffenhofen,Oberpfaffenhofen,Germany
EDNY,FDH,Friedrichshafen,Friedrichshafen,Germany
EDOP,SZW,Schwerin Parchim,Parchim,Germany
EDQD,BYU,Bayreuth,Bayreuth,Germany
EDQM,HOQ,Hof Plauen,Hof,Germany
EDRK,ZNV,Koblenz Winningen,Koblenz,Germany
EDRT,ZQF,Trier Fohren,Trier,Germany
EDRY,ZQC,Speyer,Speyer,Germany
EDTB,ZCC,Baden Oos,Baden-Baden,Germany
EDTD,ZQL,Donaueschingen Villingen,Donaueschingen,Germany
EDVE,BWE,Braunschweig,Braunschweig,Germany
EDVK,KSF,Kassel Calden,Kassel,Germany
EDWB,BRV,Bremerhaven,Bremerhaven,Germany
EDWD,LEM,Lemwerder,Lemwerder,Germany
EDWE,EME,Emden,Emden,Germany
EDWI,WVN,Wilhelmshaven Mariensiel,Wilhelmshaven,Germany
EDWR,BMK,Borkum,Borkum,Germany
EDWY,NRD,Norderney,Norderney,Germany
EDXW,GWT,Westerland Sylt,Westerland,Germany
EETN,TLL,Tallinn,Tallinn-Ulemiste International,Estonia
EFET,ENF,Enontekio,Enontekio,Finland
EFHA,KEV,Halli,Halli,Finland
EFHF,HEM,Helsinki Malmi,Helsinki,Finland
EFHK,HEL,Helsinki Vantaa,Helsinki,Finland
EFIV,IVL,Ivalo,Ivalo,Finland
EFJO,JOE,Joensuu,Joensuu,Finland
EFJY,JYV,Jyvaskyla,Jyvaskyla,Finland
EFKA,KAU,Kauhava,Kauhava,Finland
EFKE,KEM,Kemi Tornio,Kemi,Finland
EFKI,KAJ,Kajaani,Kajaani,Finland
EFKK,KOK,Kruunupyy,Kruunupyy,Finland
EFKS,KAO,Kuusamo,Kuusamo,Finland
EFKT,KTT,Kittila,Kittila,Finland
EFKU,KUO,Kuopio,Kuopio,Finland
EFLP,LPP,Lappeenranta,Lappeenranta,Finland
EFMA,MHQ,Mariehamn,Mariehamn,Finland
EFMI,MIK,Mikkeli,Mikkeli,Finland
EFOU,OUL,Oulu,Oulu,Finland
EFPO,POR,Pori,Pori,Finland
EFRO,RVN,Rovaniemi,Rovaniemi,Finland
EFSA,SVL,Savonlinna,Savonlinna,Finland
EFSO,SOT,Sodankyla,Sodankyla,Finland
EFTP,TMP,Tampere Pirkkala,Tampere,Finland
EFTU,TKU,Turku,Turku,Finland
EFUT,QVY,Utti,Utti,Finland
EFVA,VAA,Vaasa,Vaasa,Finland
EFVR,VRK,Varkaus,Varkaus,Finland
EGAA,BFS,Aldergrove,Belfast,North Ireland
EGAB,ENK,St Angelo,Enniskillen,England
EGAC,BHD,City,Belfast,North Ireland
EGAE,LDY,Londonderry Eglinton,Londonderry,North Ireland
EGBB,BHX,Birmingham,Birmingham,England
EGBE,CVT,Coventry,Coventry,England
EGBJ,GLO,Gloucestershire,Golouchestershire,England
EGCC,MAN,Manchester,Manchester,England
EGDG,NQY,St Mawgan,Newquai,England
EGDL,LYE,Lyneham,Lyneham,Uk
EGDY,YEO,Yeovilton,Yeovilton,Uk
EGFF,CWL,Cardiff,Cardiff,Wales
EGFH,SWS,Swansea,Swansea,England
EGGD,BRS,Bristol,Bristol,England
EGGP,LPL,Liverpool,Liverpool,England
EGGW,LTN,Luton,London,England
EGHD,PLH,Plymouth,Plymouth,England
EGHH,BOH,Bournemouth,Bournemouth,England
EGHI,SOU,Southampton,Southampton,England
EGHL,QLA,Lasham,Lasham,England
EGJB,GCI,Guernsey,Guernsey,Guernsey Isld.
EGJJ,JER,Jersey,Jersey,England
EGKA,ESH,Shoreham,Shoreham By Sea,England
EGKB,BQH,Biggin Hill,Biggin Hill,England
EGKK,LGW,Gatwick,London,England
EGLC,LCY,City,London,England
EGLF,FAB,Farnborough,Farnborough,England
EGLK,BBS,Blackbushe,Blackbushe,England
EGLL,LHR,Heathrow,London,Engalnd
EGMC,SEN,Southend,Southend,England
EGMD,LYX,Lydd,Lydd,Uk
EGMH,MSE,Manston,Manston,England
EGNC,CAX,Carlisle,Carlisle,England
EGNH,BLK,Blackpool,Blackpool,England
EGNJ,HUY,Humberside,Humberside,England
EGNL,BWF,Walney Island,Barrow Island,England
EGNM,LBA,Leeds Bradford,Leeds,England
EGNR,CEG,Hawarden,Hawarden,England
EGNS,IOM,Isle Of Man,Isle Of Man,England
EGNT,NCL,Newcastle,Newcastle,England
EGNV,MME,Teesside,Teesside,England
EGNX,EMA,East Midlands,East Midlands,England
EGPA,KOI,Kirkwall,Kirkwall,Scotland
EGPB,LSI,Sumburgh,Sumburgh,Uk
EGPC,WIC,Wick,Wick,Uk
EGPD,ABZ,Dyce,Aberdeen,Uk
EGPE,INV,Inverness,Inverness,Uk
EGPF,GLA,Glasgow,Glasgow,Uk
EGPH,EDI,Edinburgh,Edinburgh,Uk
EGPI,ILY,Islay,Islay,Uk
EGPK,PIK,Prestwick,Prestwick,Uk
EGPL,BEB,Benbecula,Benbecula,Uk
EGPM,SDZ,Scatsta,Scatsta,Uk
EGPN,DND,Dundee,Dundee,Uk
EGPO,SYY,Stornoway,Stornoway,Uk
EGPU,TRE,Tiree,Tiree,Uk
